time_utc,account,balance,equity,action,phase,progress_pct,day_dd_pct,total_dd_pct,forecast,engine_state,engine_entry,engine_sl,engine_conf,plan,sent
2026-07-14 14:00:58,54939391,6265.45,6187.0,trade,1,-1.252,-1.252,-1.252,0.15,flat,,,,in_sync,0
2026-07-14 14:15:47,54939391,6265.45,6186.42,trade,1,-1.261,-1.261,-1.261,0.15,flat,,,,in_sync,0
2026-07-14 14:30:48,54939391,6265.45,6186.38,trade,1,-1.262,-1.262,-1.262,0.15,flat,,,,in_sync,0
2026-07-14 14:45:47,54939391,6265.45,6180.6,trade,1,-1.354,-1.354,-1.354,0.15,flat,,,,in_sync,0
2026-07-14 15:00:50,54939391,6265.45,6180.42,trade,1,-1.357,-1.357,-1.357,0.15,flat,,,,in_sync,0
2026-07-14 15:21:00,54939391,6265.45,6175.71,trade,1,-1.432,-1.432,-1.432,0.15,flat,,,,in_sync,0
2026-07-14 15:30:50,54939391,6265.45,6178.54,trade,1,-1.387,-1.387,-1.387,0.15,flat,,,,in_sync,0
2026-07-14 15:45:47,54939391,6265.45,6189.35,trade,1,-1.215,-1.215,-1.215,0.15,flat,,,,in_sync,0
2026-07-14 16:00:48,54939391,6265.45,6198.8,trade,1,-1.064,-1.064,-1.064,0.15,flat,,,,in_sync,0
2026-07-14 16:15:47,54939391,6265.45,6201.15,trade,1,-1.026,-1.026,-1.026,0.15,flat,,,,in_sync,0
2026-07-14 16:30:47,54939391,6265.45,6202.32,trade,1,-1.008,-1.008,-1.008,0.15,flat,,,,in_sync,0
2026-07-14 16:45:47,54939391,6265.45,6201.62,trade,1,-1.019,-1.019,-1.019,0.15,flat,,,,in_sync,0
2026-07-14 17:00:47,54939391,6265.45,6200.02,trade,1,-1.044,-1.044,-1.044,0.15,flat,,,,in_sync,0
2026-07-14 17:15:48,54939391,6265.45,6208.09,trade,1,-0.915,-0.915,-0.915,0.15,flat,,,,in_sync,0
