held_time,signal_time,hour,dir,open,close,spread_usd,gross_usd,cost_usd,net_usd,balance,recorded_at
2026-07-02 08:15:00,2026-07-02 08:00:00,8,1,4055.51,4057.36,0.34,0.46,0.08,0.37,10000.37,2026-07-08T16:15:20+00:00
2026-07-02 09:00:00,2026-07-02 08:45:00,8,-1,4066.19,4068.31,0.34,-0.52,0.08,-0.6,9999.77,2026-07-08T16:15:20+00:00
2026-07-02 20:30:00,2026-07-02 20:15:00,20,1,4112.58,4107.4,0.34,-1.26,0.08,-1.34,9998.43,2026-07-08T16:15:20+00:00
2026-07-02 20:45:00,2026-07-02 20:30:00,20,1,4107.46,4106.67,0.34,-0.19,0.08,-0.28,9998.15,2026-07-08T16:15:20+00:00
2026-07-02 22:15:00,2026-07-02 22:00:00,22,1,4114.47,4112.45,0.34,-0.49,0.08,-0.57,9997.58,2026-07-08T16:15:20+00:00
2026-07-06 01:00:00,2026-07-03 20:00:00,20,1,4177.4,4181.01,0.4,0.86,0.1,0.77,9998.34,2026-07-08T16:15:20+00:00
2026-07-06 08:15:00,2026-07-06 08:00:00,8,1,4152.24,4152.72,0.34,0.12,0.08,0.03,9998.38,2026-07-08T16:15:20+00:00
2026-07-06 21:00:00,2026-07-06 20:45:00,20,-1,4161.12,4158.11,0.34,0.72,0.08,0.64,9999.02,2026-07-08T16:15:20+00:00
2026-07-06 22:15:00,2026-07-06 22:00:00,22,1,4159.55,4162.89,0.34,0.8,0.08,0.72,9999.74,2026-07-08T16:15:20+00:00
2026-07-06 22:30:00,2026-07-06 22:15:00,22,-1,4162.9,4161.11,0.34,0.43,0.08,0.35,10000.09,2026-07-08T16:15:20+00:00
2026-07-07 08:15:00,2026-07-07 08:00:00,8,1,4122.71,4127.89,0.34,1.26,0.08,1.17,10001.26,2026-07-08T16:15:20+00:00
2026-07-07 08:30:00,2026-07-07 08:15:00,8,-1,4127.9,4122.44,0.34,1.32,0.08,1.24,10002.5,2026-07-08T16:15:20+00:00
2026-07-07 20:15:00,2026-07-07 20:00:00,20,1,4143.02,4145.61,0.34,0.63,0.08,0.54,10003.05,2026-07-08T16:15:20+00:00
2026-07-07 20:30:00,2026-07-07 20:15:00,20,-1,4145.62,4146.66,0.34,-0.25,0.08,-0.33,10002.71,2026-07-08T16:15:20+00:00
2026-07-07 22:15:00,2026-07-07 22:00:00,22,1,4106.0,4103.56,0.34,-0.59,0.08,-0.68,10002.04,2026-07-08T16:15:20+00:00
2026-07-08 08:15:00,2026-07-08 08:00:00,8,1,4125.89,4122.12,0.34,-0.91,0.08,-1.0,10001.04,2026-07-08T16:15:20+00:00
2026-07-08 08:30:00,2026-07-08 08:15:00,8,1,4122.08,4127.94,0.34,1.42,0.08,1.34,10002.38,2026-07-08T16:15:20+00:00
